CustomerID,BankID,CustomerName,Gender,Age,CustomerSegment,Occupation,AnnualIncome,City,State,Country,AccountOpeningDate,CustomerRiskScore,RiskCategory
C000066,2,Arjun Martin,Male,54,Affluent,Other,46996,Dallas,Texas,USA,2018-07-14,78,High
C000067,2,Chris Wilson,Male,47,Business,Other,104666,New York,New York,USA,2016-07-18,26,Low
C000068,6,Riley Williams,Other,36,Affluent,Engineer,76045,Manchester,England,UK,2023-01-05,72,Low
C000069,2,Rahul Taylor,Female,63,Premium,Manager,95672,New York,New York,USA,2025-01-25,86,Low
C000070,10,Casey Moore,Male,27,Affluent,Retired,57776,Kolkata,West Bengal,India,2015-09-01,34,High
C000071,9,Casey Clark,Female,25,Business,Healthcare,43281,Chennai,Tamil Nadu,India,2024-09-17,33,Low
C000072,8,Avery Smith,Female,58,Business,Business Owner,62510,Ahmedabad,Gujarat,India,2019-11-04,90,Low
C000073,8,Rahul Brown,Male,28,Mass Market,Manager,23190,Hyderabad,Telangana,India,2022-03-20,41,Medium
C000074,6,Emma Patel,Other,21,Affluent,Manager,179317,Manchester,England,UK,2018-11-18,19,Low
C000075,1,Chris Miller,Other,74,Affluent,Business Owner,119555,Chicago,Illinois,USA,2024-03-11,41,Medium
C000076,4,Emma Lee,Female,63,Mass Market,Business Owner,84549,San Francisco,California,USA,2017-03-25,14,Critical
C000077,5,Casey Patel,Male,53,Mass Market,Consultant,94054,Birmingham,England,UK,2024-01-17,11,High
C000078,10,Arjun Iyer,Male,48,Mass Market,Retired,56649,Delhi,Delhi,India,2022-03-29,21,Low
C000079,3,Chris Moore,Male,62,Mass Market,Manager,28730,San Francisco,California,USA,2024-06-14,74,Low
C000080,5,Riley Gupta,Male,71,Business,Employee,113006,Manchester,England,UK,2020-07-10,19,Low
C000081,4,Chris Davis,Other,69,Business,Student,43769,San Francisco,California,USA,2024-10-16,27,Low
C000082,2,Jamie Wilson,Male,34,Business,Manager,247111,San Francisco,California,USA,2016-03-07,57,Low
C000083,2,Alex Wilson,Other,54,Business,Retired,74178,Miami,Florida,USA,2024-08-30,38,Medium
C000084,4,Avery Johnson,Other,37,Mass Market,Business Owner,50886,Chicago,Illinois,USA,2025-11-24,43,Low
C000085,1,Priya Wilson,Female,31,Business,Consultant,121966,New York,New York,USA,2021-10-07,36,Low
C000086,1,Rahul Gupta,Female,34,Mass Market,Healthcare,168787,Houston,Texas,USA,2025-11-25,43,Low
C000087,4,Alex Taylor,Other,23,Business,Employee,48093,Dallas,Texas,USA,2017-09-07,43,Medium
C000088,3,Jordan Kumar,Male,50,Mass Market,Healthcare,81509,Dallas,Texas,USA,2023-12-21,44,Medium
C000089,6,Noah Clark,Female,68,Business,Retired,62356,Liverpool,England,UK,2024-05-17,86,Medium
C000090,1,Daniel Patel,Female,43,Mass Market,Consultant,140932,Miami,Florida,USA,2021-03-25,51,High
C000091,4,Neha Gupta,Other,44,Business,Consultant,154939,Los Angeles,California,USA,2017-09-27,56,Medium
C000092,5,Olivia Taylor,Female,50,Premium,Consultant,54396,Liverpool,England,UK,2024-12-10,20,Critical
C000093,10,Noah Gupta,Other,35,Affluent,Consultant,164610,Delhi,Delhi,India,2017-04-28,47,High
C000094,7,Arjun Williams,Other,65,Mass Market,Engineer,225748,Berlin,Berlin,Germany,2024-06-21,84,Low
C000095,9,Vikram Sharma,Other,32,Affluent,Business Owner,79756,Hyderabad,Telangana,India,2023-04-07,62,Low
C000096,4,Avery Smith,Other,47,Mass Market,Business Owner,89256,Houston,Texas,USA,2016-08-30,94,Low
C000097,5,Daniel Johnson,Female,25,Business,Retired,32907,Birmingham,England,UK,2020-08-21,25,Medium
C000098,5,Rahul Moore,Other,37,Affluent,Healthcare,48569,Manchester,England,UK,2022-04-12,79,Medium
C000099,9,Rahul Johnson,Other,48,Business,Employee,156334,Bengaluru,Karnataka,India,2025-07-31,65,High
C000100,10,Olivia Moore,Female,36,Premium,Other,41259,Mumbai,Maharashtra,India,2017-02-22,92,Low
C000101,10,Alex Davis,Other,40,Affluent,Employee,40154,Ahmedabad,Gujarat,India,2015-04-04,80,Medium
C000102,8,Ananya Anderson,Other,27,Premium,Manager,54245,Delhi,Delhi,India,2015-03-03,29,Low
C000103,6,Arjun Brown,Male,32,Mass Market,Employee,37149,Manchester,England,UK,2016-09-24,46,Medium
C000104,6,Olivia Lee,Female,54,Business,Business Owner,119367,Liverpool,England,UK,2024-08-31,56,Low
C000105,10,Noah Taylor,Male,44,Affluent,Business Owner,78080,Pune,Maharashtra,India,2022-07-18,77,Medium
C000106,3,Rahul Patel,Male,43,Premium,Healthcare,48635,Miami,Florida,USA,2019-01-16,54,Low
C000107,4,Rahul Singh,Female,39,Affluent,Manager,39723,Los Angeles,California,USA,2021-10-30,76,Low
C000108,9,Avery Iyer,Other,36,Business,Employee,40523,Chennai,Tamil Nadu,India,2023-05-15,77,Low
C000109,4,Arjun Kumar,Male,58,Premium,Employee,56067,Chicago,Illinois,USA,2025-07-20,85,Medium
C000110,3,Vikram Johnson,Male,56,Premium,Manager,20348,Dallas,Texas,USA,2020-07-27,30,Low
C000111,6,Avery Davis,Female,42,Business,Business Owner,139034,Leeds,England,UK,2019-10-25,66,Low
C000112,4,Casey Martin,Other,21,Mass Market,Manager,85423,San Francisco,California,USA,2017-06-04,91,Low
C000113,9,Morgan Singh,Other,52,Affluent,Business Owner,62061,Bengaluru,Karnataka,India,2019-01-29,81,Low
C000114,10,Taylor Singh,Female,65,Mass Market,Employee,29494,Delhi,Delhi,India,2016-09-17,91,Low
C000115,4,Arjun Lee,Female,44,Premium,Retired,177871,Miami,Florida,USA,2020-02-06,30,Low
C000116,6,Noah Thomas,Other,52,Affluent,Engineer,32732,Leeds,England,UK,2020-08-19,17,Medium
C000117,10,Daniel Lee,Other,49,Premium,Healthcare,79052,Chennai,Tamil Nadu,India,2018-06-03,8,Low
C000118,8,Morgan Iyer,Other,51,Business,Healthcare,77345,Chennai,Tamil Nadu,India,2017-08-02,53,Low
C000119,3,Casey Martin,Female,57,Premium,Healthcare,40389,Dallas,Texas,USA,2024-01-08,19,Low
C000120,6,Emma Patel,Female,65,Mass Market,Engineer,62361,Birmingham,England,UK,2019-06-12,52,Low
C000121,7,Casey Davis,Other,57,Business,Business Owner,75741,Munich,Bavaria,Germany,2018-10-22,29,Low
C000122,7,Priya Iyer,Other,38,Mass Market,Business Owner,78066,Cologne,North Rhine-Westphalia,Germany,2016-01-18,87,Low
C000123,1,Vikram Smith,Female,53,Affluent,Employee,61389,Miami,Florida,USA,2017-11-24,45,Medium
C000124,3,Casey Moore,Male,43,Business,Business Owner,114151,Chicago,Illinois,USA,2024-01-08,22,Medium
C000125,9,Riley Davis,Other,30,Mass Market,Retired,68984,Kolkata,West Bengal,India,2024-08-19,82,Low
C000126,3,Noah Gupta,Other,39,Mass Market,Employee,103395,Chicago,Illinois,USA,2015-07-06,58,Critical
C000127,3,Jordan Moore,Female,73,Affluent,Student,191739,Los Angeles,California,USA,2016-06-05,16,Low
C000128,4,Riley Taylor,Female,72,Premium,Business Owner,28310,San Francisco,California,USA,2017-01-28,44,Low
C000129,2,Noah Sharma,Other,73,Mass Market,Consultant,78809,San Francisco,California,USA,2015-11-03,61,Low
C000130,2,Taylor Clark,Female,56,Affluent,Employee,34352,Los Angeles,California,USA,2021-07-21,45,Medium
C000131,4,Chris Johnson,Female,33,Mass Market,Business Owner,18000,Los Angeles,California,USA,2020-02-19,10,Critical
C000132,9,Noah Iyer,Male,69,Business,Engineer,80083,Ahmedabad,Gujarat,India,2015-01-30,26,Low
C000133,1,Vikram Wilson,Male,26,Mass Market,Consultant,318777,San Francisco,California,USA,2022-11-17,29,High
C000134,3,Chris Patel,Male,43,Mass Market,Student,47710,Chicago,Illinois,USA,2023-10-10,18,Low
C000135,1,Noah Brown,Male,54,Business,Student,75059,Los Angeles,California,USA,2015-06-22,43,Low
C000136,6,Avery Clark,Male,56,Affluent,Healthcare,115794,Birmingham,England,UK,2024-11-04,25,Low
C000137,3,Vikram Gupta,Male,38,Business,Manager,106197,Houston,Texas,USA,2022-03-04,68,Low
C000138,8,Olivia Brown,Female,56,Business,Consultant,67941,Pune,Maharashtra,India,2017-04-28,54,Low
C000139,6,Daniel Thomas,Female,42,Affluent,Employee,102652,London,England,UK,2024-01-15,86,Medium
C000140,8,Taylor Gupta,Female,59,Premium,Engineer,40521,Chennai,Tamil Nadu,India,2022-04-08,26,Low
C000141,7,Jamie Lee,Male,41,Premium,Business Owner,18000,Munich,Bavaria,Germany,2021-01-07,49,High
C000142,5,Daniel Wilson,Other,38,Mass Market,Manager,90961,Birmingham,England,UK,2019-09-02,77,Critical
C000143,9,Jamie Patel,Male,59,Mass Market,Business Owner,43495,Pune,Maharashtra,India,2023-09-06,64,Medium
C000144,5,Olivia Gupta,Female,65,Affluent,Consultant,78795,Manchester,England,UK,2021-08-16,43,Low
C000145,10,Jamie Singh,Female,22,Premium,Employee,55048,Mumbai,Maharashtra,India,2016-09-19,89,Low
C000146,10,Avery Williams,Male,39,Affluent,Student,141485,Chennai,Tamil Nadu,India,2024-09-07,89,Low
C000147,6,Ananya Brown,Female,54,Mass Market,Healthcare,96122,London,England,UK,2023-06-01,57,Low
C000148,7,Chris Davis,Female,29,Mass Market,Consultant,116312,Cologne,North Rhine-Westphalia,Germany,2018-09-04,67,High
C000149,3,Jamie Patel,Female,37,Affluent,Engineer,88207,Houston,Texas,USA,2024-12-24,66,Medium
C000150,9,Vikram Anderson,Female,23,Affluent,Engineer,72639,Mumbai,Maharashtra,India,2021-10-18,80,Medium
C000151,7,Riley Miller,Other,48,Premium,Manager,73801,Hamburg,Hamburg,Germany,2024-07-08,92,Low
C000152,10,Noah Patel,Other,59,Affluent,Manager,98194,Bengaluru,Karnataka,India,2019-08-25,95,Low
C000153,3,Priya Gupta,Female,49,Business,Consultant,95689,New York,New York,USA,2023-01-16,76,Low
C000154,8,Arjun Wilson,Male,28,Mass Market,Student,69013,Pune,Maharashtra,India,2015-11-13,82,Medium
C000155,5,Alex Sharma,Other,64,Mass Market,Employee,58379,London,England,UK,2019-03-19,51,Low
C000156,2,Alex Gupta,Female,24,Mass Market,Manager,45711,Houston,Texas,USA,2025-11-04,27,Low
C000157,2,Vikram Patel,Male,45,Mass Market,Manager,103351,Chicago,Illinois,USA,2024-12-26,8,Low
C000158,6,Chris Singh,Male,33,Premium,Retired,73135,London,England,UK,2018-06-26,41,Medium
C000159,4,Noah Taylor,Female,34,Premium,Consultant,56353,New York,New York,USA,2020-01-21,85,Medium
C000160,2,Noah Iyer,Other,37,Mass Market,Consultant,47550,Seattle,Washington,USA,2018-10-20,60,Critical
C000161,5,Morgan Iyer,Other,56,Mass Market,Retired,51084,Leeds,England,UK,2022-09-11,36,High
C000162,7,Daniel Lee,Male,74,Mass Market,Employee,285470,Frankfurt,Hesse,Germany,2025-06-05,49,Low
C000163,4,Rahul Thomas,Other,60,Affluent,Other,92954,Houston,Texas,USA,2020-09-16,89,High
C000164,10,Morgan Kumar,Male,57,Mass Market,Retired,216405,Mumbai,Maharashtra,India,2024-04-27,14,Medium
C000165,8,Chris Brown,Other,62,Mass Market,Student,66272,Mumbai,Maharashtra,India,2019-12-09,72,Medium
C000166,6,Sam Miller,Male,34,Premium,Consultant,135219,Manchester,England,UK,2015-12-12,21,Medium
C000167,10,Avery Kumar,Female,24,Mass Market,Engineer,33933,Bengaluru,Karnataka,India,2015-02-26,72,Low
C000168,5,Chris Iyer,Female,66,Business,Business Owner,34438,Manchester,England,UK,2025-08-07,55,Low
C000169,2,Casey Iyer,Female,74,Business,Healthcare,43749,San Francisco,California,USA,2015-09-27,55,Low
C000170,1,Emma Singh,Female,65,Premium,Retired,56665,Los Angeles,California,USA,2025-10-20,80,Low
C000171,10,Jamie Miller,Female,48,Business,Engineer,237642,Chennai,Tamil Nadu,India,2015-03-25,93,High
C000172,10,Riley Brown,Male,36,Affluent,Student,41636,Delhi,Delhi,India,2015-03-06,82,Low
C000173,8,Arjun Clark,Other,22,Affluent,Consultant,27352,Kolkata,West Bengal,India,2025-07-20,71,Low
C000174,2,Daniel Iyer,Female,49,Affluent,Manager,33402,Seattle,Washington,USA,2020-06-22,79,Medium
C000175,3,Vikram Martin,Male,62,Mass Market,Retired,40019,New York,New York,USA,2015-06-19,51,High
C000176,1,Avery Clark,Male,70,Business,Manager,142211,Houston,Texas,USA,2016-05-30,61,Low
C000177,1,Olivia Lee,Other,70,Mass Market,Consultant,84274,New York,New York,USA,2025-12-09,87,Low
C000178,3,Jordan Gupta,Female,35,Premium,Retired,33859,Dallas,Texas,USA,2019-07-09,41,Low
C000179,6,Avery Kumar,Other,53,Affluent,Engineer,79940,London,England,UK,2022-11-08,22,Low
C000180,1,Alex Moore,Female,60,Mass Market,Manager,65374,Seattle,Washington,USA,2023-06-30,90,Medium
C000181,10,Chris Miller,Other,49,Business,Engineer,93168,Mumbai,Maharashtra,India,2015-01-13,45,High
C000182,5,Neha Gupta,Female,65,Premium,Retired,198702,Liverpool,England,UK,2024-12-20,55,Medium
C000183,3,Emma Patel,Male,24,Mass Market,Employee,41525,San Francisco,California,USA,2023-02-27,39,High
C000184,6,Taylor Wilson,Male,72,Business,Student,102761,Leeds,England,UK,2015-04-19,81,Low
C000185,8,Neha Sharma,Female,22,Business,Other,75290,Bengaluru,Karnataka,India,2016-05-27,6,Medium
C000186,4,Chris Wilson,Other,25,Business,Healthcare,32877,New York,New York,USA,2019-12-31,84,Low
C000187,1,Noah Johnson,Other,66,Premium,Consultant,43234,Houston,Texas,USA,2015-07-28,49,Medium
C000188,1,Noah Kumar,Female,68,Premium,Healthcare,122987,Seattle,Washington,USA,2022-10-24,27,Low
C000189,9,Noah Iyer,Female,57,Mass Market,Manager,134530,Ahmedabad,Gujarat,India,2020-03-24,76,Low
C000190,2,Jamie Martin,Male,60,Affluent,Student,81215,Dallas,Texas,USA,2015-12-03,20,Medium
C000191,7,Vikram Brown,Other,30,Business,Engineer,215521,Munich,Bavaria,Germany,2015-04-16,92,Low
C000192,4,Chris Williams,Other,37,Premium,Other,162370,Dallas,Texas,USA,2020-07-10,32,Low
C000193,8,Arjun Davis,Male,60,Business,Engineer,40862,Kolkata,West Bengal,India,2020-09-16,27,Low
C000194,1,Jamie Taylor,Other,51,Affluent,Business Owner,149493,San Francisco,California,USA,2024-04-29,75,Medium
C000195,9,Priya Miller,Other,62,Affluent,Other,57515,Kolkata,West Bengal,India,2021-07-20,55,Low
C000196,7,Emma Anderson,Female,41,Premium,Employee,76948,Cologne,North Rhine-Westphalia,Germany,2022-11-09,72,Low
C000197,5,Olivia Smith,Male,35,Mass Market,Healthcare,66861,Liverpool,England,UK,2020-08-13,31,Low
C000198,3,Rahul Moore,Female,49,Affluent,Manager,463981,Chicago,Illinois,USA,2020-12-23,21,Low
C000199,10,Noah Wilson,Other,34,Business,Retired,48753,Delhi,Delhi,India,2024-02-23,14,Medium
C000200,4,Priya Moore,Male,21,Affluent,Engineer,175554,Chicago,Illinois,USA,2018-10-24,32,Low
C000201,5,Ananya Lee,Female,38,Mass Market,Other,66238,Manchester,England,UK,2020-01-15,67,Low
C000202,4,Priya Williams,Other,36,Premium,Other,82054,Houston,Texas,USA,2021-08-26,64,Medium
C000203,3,Ananya Williams,Other,50,Premium,Engineer,30822,Chicago,Illinois,USA,2015-06-30,69,Low
C000204,5,Jamie Davis,Other,56,Premium,Business Owner,48583,Leeds,England,UK,2024-07-07,18,Low
C000205,2,Emma Davis,Male,57,Business,Other,18000,Chicago,Illinois,USA,2018-01-24,6,Low
C000206,1,Casey Moore,Female,72,Business,Engineer,44299,San Francisco,California,USA,2022-02-10,80,Critical
C000207,3,Emma Gupta,Other,46,Mass Market,Manager,59642,Houston,Texas,USA,2024-07-05,61,Medium
C000208,2,Taylor Gupta,Female,30,Business,Student,103945,Chicago,Illinois,USA,2024-07-17,82,Critical
C000209,5,Alex Moore,Other,26,Affluent,Employee,73181,Liverpool,England,UK,2020-06-07,24,Medium
C000210,9,Alex Gupta,Female,45,Business,Student,48063,Kolkata,West Bengal,India,2015-02-01,16,Low
C000211,2,Sam Gupta,Male,43,Affluent,Healthcare,177682,Miami,Florida,USA,2021-06-24,75,High
C000212,1,Taylor Davis,Male,74,Premium,Manager,164482,Dallas,Texas,USA,2024-07-06,32,Medium
C000213,2,Arjun Taylor,Other,34,Business,Other,145152,Seattle,Washington,USA,2024-05-10,42,Medium
C000214,6,Vikram Thomas,Male,23,Business,Student,41355,Liverpool,England,UK,2022-06-02,75,Low
C000215,3,Arjun Sharma,Male,56,Mass Market,Employee,24611,Dallas,Texas,USA,2022-04-30,43,Low
C000216,5,Sam Brown,Male,26,Affluent,Other,112787,Leeds,England,UK,2022-07-10,49,Low
C000217,1,Chris Miller,Male,36,Premium,Student,18000,Dallas,Texas,USA,2018-02-14,24,Medium
C000218,4,Alex Wilson,Male,33,Mass Market,Healthcare,161519,New York,New York,USA,2024-06-23,75,Medium
C000219,5,Rahul Clark,Other,22,Mass Market,Employee,95372,Manchester,England,UK,2018-01-06,84,Low
C000220,5,Ananya Davis,Male,51,Premium,Student,62783,Leeds,England,UK,2025-02-20,57,Low
C000221,6,Vikram Moore,Female,69,Business,Retired,52967,London,England,UK,2017-02-05,32,Low
C000222,8,Casey Kumar,Other,66,Premium,Retired,41823,Kolkata,West Bengal,India,2025-05-29,82,Critical
C000223,5,Jordan Sharma,Female,57,Business,Employee,74783,Liverpool,England,UK,2022-01-30,21,Low
C000224,9,Casey Smith,Male,68,Affluent,Business Owner,32838,Ahmedabad,Gujarat,India,2016-06-16,94,Low
C000225,6,Alex Moore,Female,30,Premium,Manager,34605,Manchester,England,UK,2025-02-25,63,Medium
C000226,3,Ananya Lee,Other,41,Business,Business Owner,24708,Seattle,Washington,USA,2022-11-24,14,Critical
C000227,3,Jordan Kumar,Other,68,Affluent,Retired,105804,Los Angeles,California,USA,2018-07-22,55,Low
C000228,4,Arjun Singh,Female,47,Affluent,Business Owner,39954,Chicago,Illinois,USA,2022-02-15,90,Medium
C000229,6,Rahul Singh,Male,70,Business,Retired,20992,Leeds,England,UK,2018-08-22,48,Low
C000230,3,Avery Singh,Male,41,Premium,Engineer,127727,Los Angeles,California,USA,2022-09-29,64,Low
C000231,10,Morgan Brown,Other,39,Mass Market,Student,117327,Kolkata,West Bengal,India,2017-03-17,16,Low
C000232,5,Alex Patel,Other,44,Premium,Other,79031,London,England,UK,2017-02-11,24,Low
C000233,9,Priya Thomas,Female,46,Mass Market,Healthcare,34673,Kolkata,West Bengal,India,2016-05-15,65,High
C000234,7,Emma Clark,Female,43,Affluent,Business Owner,38167,Frankfurt,Hesse,Germany,2018-03-07,67,High
C000235,4,Jamie Patel,Male,46,Affluent,Consultant,186740,Houston,Texas,USA,2023-12-03,90,High
C000236,3,Avery Taylor,Male,59,Business,Employee,98798,Chicago,Illinois,USA,2024-06-04,30,Medium
C000237,8,Jamie Williams,Other,28,Mass Market,Retired,18000,Pune,Maharashtra,India,2024-08-15,70,Low
C000238,4,Neha Gupta,Other,39,Affluent,Manager,189008,Seattle,Washington,USA,2015-04-08,30,Low
C000239,3,Alex Anderson,Other,68,Mass Market,Manager,82275,Houston,Texas,USA,2022-12-31,77,Low
C000240,10,Ananya Brown,Female,42,Mass Market,Student,71597,Kolkata,West Bengal,India,2024-10-10,75,Critical
C000241,5,Emma Moore,Male,45,Mass Market,Retired,21436,Leeds,England,UK,2018-04-08,79,Low
C000242,1,Morgan Miller,Female,45,Affluent,Other,106326,New York,New York,USA,2019-11-03,56,Low
C000243,5,Jordan Sharma,Female,39,Mass Market,Manager,105328,Leeds,England,UK,2019-12-01,21,Low
C000244,5,Rahul Gupta,Female,74,Premium,Retired,151029,Birmingham,England,UK,2017-10-03,28,Medium
C000245,9,Jamie Lee,Male,43,Affluent,Consultant,42160,Kolkata,West Bengal,India,2017-08-08,85,Medium
C000246,8,Ananya Wilson,Male,62,Affluent,Consultant,31674,Ahmedabad,Gujarat,India,2021-06-23,24,Low
C000247,2,Priya Johnson,Male,63,Mass Market,Student,45765,Houston,Texas,USA,2019-11-16,58,High
C000248,2,Taylor Davis,Female,71,Mass Market,Manager,30229,Dallas,Texas,USA,2017-02-20,48,High
C000249,7,Rahul Clark,Female,50,Mass Market,Other,43853,Munich,Bavaria,Germany,2025-04-03,34,Low
